0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
-0.35892797,0.4802099,0.9818455,0.08025366,-0.6813452,-0.40735787,-0.12038827,-0.5314517,0.9107138,0.8120984,0.36679262,-0.94627345,0.824361,-1.1692593,-0.17898488,1.3575144,-0.89711785,-0.84408593,-1.2179223,-0.99405956,-0.54052335,-0.53483194,-1.0116376,0.98469865,-0.5926521,-0.3782628,-0.47069252,-0.58563554,-0.76736736,1.0273975,-0.14450192,-0.36774084,-1.0240672,-1.3515556,-1.4249761,0.09531176,0.09490958,0.06536175,1.1887692,0.015544877,-0.54919755,-0.5623476,0.1709539,-0.95221925,1.111487,-0.5208745,-0.8931154,-0.47732562,-0.89857495,-0.8056684,0.2768917,-1.0373325,-0.28065854,-0.66057557,-1.190876,-0.5202666,0.7095779,0.6321683,-1.2681761,0.88036454
-1.0883906,0.8640482,0.5535965,1.100157,-0.16035521,1.4374652,-0.7300685,-0.40364832,0.86368215,-0.42840976,0.47860998,-0.3063442,0.5971335,0.12716146,-0.3875885,0.88398486,-1.2387452,-0.11191237,-0.08685362,-0.84855676,0.28599346,0.17334332,0.9806152,0.42646706,-0.2995759,-1.087994,-0.41297925,-0.96149904,1.1551439,0.99221027,-0.20013043,0.021170355,-0.15946281,1.2244811,0.99620026,0.06057751,0.08817148,0.064595826,-0.5675695,-0.4009135,-1.9218135,-0.07469261,0.004036508,-1.0569148,-0.49237746,-0.981002,-0.18360567,-0.79538405,-0.34797,0.25394666,-0.10883522,0.830316,-1.0652514,0.42456436,-0.33063516,-1.1622621,-0.31069678,0.45951447,-0.65684026,0.36717343
1.1606538,1.1046053,1.2103218,-0.025916256,0.008957288,-0.012310118,-0.13323605,-1.2121646,-0.054145575,0.12282569,0.6276889,0.28707266,0.67701215,-0.19101691,0.58631444,-0.39676934,-0.051781893,0.7536433,-1.1991062,0.69773287,-0.18786621,-0.4473765,0.69389313,-0.6797119,-0.8296006,1.4195322,0.9181992,0.33685958,-0.50645256,0.012536168,0.82680255,1.7810819,0.857077,0.46146393,0.40444142,-0.9524102,-0.37173644,1.3280178,-0.9742327,-0.021778025,-1.1053041,-0.21345925,-1.5612429,-0.11495268,0.92411864,-0.78351045,-1.1825819,0.22828627,-0.004866481,-1.0155902,1.0251237,0.17038305,-0.9506149,-0.5497702,0.54506713,-0.590736,0.39077973,-1.217105,0.77614564,0.67694867
0.7287763,-0.22521812,-0.6435165,-0.5651695,-0.6397526,0.4078258,-0.40598488,-1.0693984,-1.0442994,-1.1081961,-1.1702019,-0.1235857,0.540196,1.3492957,-0.7805306,-0.23695691,0.39995632,0.86252654,-0.90291613,-0.32700098,-0.6605785,-0.25379148,-0.65849274,1.2215341,0.8984255,-0.08548272,-0.0889622,-0.9449472,-0.72596735,0.99532187,1.2104454,1.5946801,0.5896833,-0.99887973,-0.91465074,-0.14084041,1.0817889,1.3543289,0.15246549,0.27537757,0.575484,-0.14291942,1.2413577,-0.32392508,1.215809,0.41576913,-1.6133976,-0.13773358,0.38638186,1.274074,1.0901049,0.07591518,-0.6007426,-1.0006865,0.9700321,0.009941816,-0.6778939,-0.39807978,-0.1479863,-0.72043973
-0.6790015,-0.20561613,0,-0.071061015,-0.005225613,-0.023358623,0,0,0,-0.6725146,-0.31093538,0,-0.23261502,0,0,-0.51128495,0,0,0,-0.02179786,0,0,-0.025062688,0,0,-0.5426058,0,-0.21689972,0,0,0.06714016,-0.13936178,0,0.18280147,0.7245566,0,-0.060983814,-0.03071909,0,-0.013071856,0,0,0.4578169,0,0,0,0,0,0,1.1307726,0,0.25921866,0,0,-0.33057904,0,0,-0.39255238,-0.050396446,0
-0.48443693,0.10970254,0,-0.529705,0,-0.6481921,0,0,0,0,-0.10190717,0,-0.56621087,-0.6408798,0,0.13073795,-0.10784186,0,0,0,0,-0.11762661,-0.31896725,0,-0.5326947,0,0,0,0,0,-0.5037263,-0.51234263,0,-0.36218232,0.16768883,0,-0.81973577,-0.7135834,-0.005125836,-0.18598235,0.20117652,0,-0.8221214,0,0,-0.2706528,0.5150147,0,-0.2793885,-0.5622127,0,-0.56413877,0,0,-0.56738293,0,0,-0.33342704,0,0
0.39320856,1.3211992,-0.014673352,-0.09480908,-0.033010483,-0.74089426,-0.8531412,-1.0877434,0.2574222,0.5125163,-0.07214463,0.28552473,-0.29779482,0.77906024,-0.063848615,0.43225515,-1.0396017,0.28460062,-0.5339389,-0.04024899,-0.9762583,1.4086207,-0.88075066,0.165465,-0.8485833,1.0828271,0.57752204,-0.21150523,0.9632691,-0.55162084,-0.33726594,-1.0945497,0.10118389,0.29890826,-0.36612427,-0.5367501,-0.0835341,-0.54932326,-0.34671903,-1.1279262,-0.75747174,-0.079725266,0.29473993,-0.015384436,-1.0922213,-1.1444259,0.13750577,-0.6768976,-1.2008594,1.2402178,0.2620933,0.3737923,-0.05195272,0.56090796,-0.9000181,-0.43443084,-0.9862701,-0.039979693,-1.210125,-0.041522622
-0.504492,-1.2209738,1.0989465,0.37900183,1.1735269,-0.11943722,-1.3131788,-0.21750319,0.8143531,0.09552336,0.62970155,0.54880273,0.7471502,0.96561635,0.12584352,-0.30638665,0.99249303,0.5656451,-0.22898722,0.04017104,0.34224725,-1.331815,-0.34850055,-0.23551273,0.46959072,-0.54908514,0.5276201,-0.10987818,0.37196898,-0.433222,0.5081608,1.0428714,-0.96763074,0.26833102,0.79868495,0.32776487,0.44224536,0.5686048,-0.70680386,-0.8397219,0.7308992,0.43869936,0.32072076,-1.0501397,1.2173423,-0.9190149,1.0400175,-0.7695933,-0.51091933,-0.0277735,-1.1149035,0.45050606,-0.10446894,-0.31848246,0.47552717,0.4472202,0.4604926,-0.96489763,0.11269435,-1.1731765
0.11922991,-0.4854905,0.7161058,0.10758252,0.16518605,1.1433285,0.12179175,-0.5431613,-0.22031522,0.12260513,-0.03253889,0.011990786,0.21118204,0.05297239,0.6859286,0.20339203,0.86291015,1.0013543,0.13344662,-1.0620207,1.0241553,0.13113695,1.3965467,0.03217137,0.1145667,1.1360136,0.36957932,0.13166714,-1.1175069,0.59852314,0.21191885,1.4046727,-0.46701097,0.08396733,-0.22278988,0.23482859,0.11205194,0.77551764,1.1463925,0.1309124,-0.44584435,-0.65343696,0.0824668,-0.4407696,1.031583,0.12253867,2.0744839,-0.7386236,0.12489536,1.2717324,-0.43132335,0.07981029,-0.9287101,-0.6616583,0.11478374,-0.26259357,0.060575247,0.12199709,-1.0315521,-0.29266685
0,-0.438255,-0.58469504,0,-1.0885955,-1.1132089,0,0.13512361,-1.2190088,0,0.7176418,1.025138,0,1.2450763,0.20691049,0,-0.086456776,0.070293665,0,1.0901715,-0.11791861,0,0.06926077,0.93424404,0,0.15060735,-0.2576406,0,-0.56332195,0.7337054,0,-1.0422866,-0.725266,0,0.881288,0.02807486,0,-1.1077763,0.021243205,0,1.8651518,-0.34823394,0,-0.7822799,-0.005948067,0,0.53287554,-0.8913403,0,-0.21103358,0.37272263,0,-0.00271678,0.7896155,0,-0.49597204,0.8627626,0,-0.06229925,-0.07471132
0,-0.80871725,0,0,0,-0.4470608,0,0,0,0,0,0,0,-0.071969785,0,0,-0.11080752,0,0,0,0,0,-0.20430748,0,0,-0.36058035,0,0,0,0,0,0.16851173,0,0,0,0,0,-0.2566031,-0.005125763,0,0,0,0,0,0,0,0.011956506,0,0,-0.6604886,0,0,0,0,0,0,0,0,0,0
0,0.6471387,0,0,-0.005225597,0,0,0,0,0,-0.34917262,0,0,-0.5173574,0,0,0,0,0,-0.022502411,0,0,-0.063832134,0,0,0,0,0,0,0,0,-0.33211666,0,0,-0.44903734,0,0,0.016217,-0.005125736,0,0.03271335,0,0,0,0,0,-0.28877172,0,0,0,0,0,0,0,0,0,0,0,-0.055491135,0
0,0.2652682,0.6134391,0,1.3921407,1.9714837,0,0.6297282,-0.88167214,0,0.6950618,-1.1968042,0,-0.12541309,0.97225964,0,-0.78481954,0.14831567,0,-0.90336776,-0.4536376,0,0.24851255,0.28718328,0,0.28897873,0.6403606,0,1.0994366,1.101756,0,0.8759787,-0.56757647,0,-0.7733643,-1.0770667,0,-0.4521388,1.1237438,0,-1.0084746,0.92024934,0,0.038245082,0.16852629,0,0.15198314,-0.8842459,0,0.4326167,-1.2232038,0,0.731002,-0.78104186,0,-0.37890148,-0.9390917,0,-0.48522115,1.1397315
0,0.28526875,-0.040400267,0,-0.3158552,-0.89287853,0,1.3783945,-0.59777296,0,-0.43986642,0.2837795,0,0.2822791,0.16023958,0,1.3007249,-0.89569175,0,-0.9940928,0.854993,0,1.0125391,1.1856076,0,0.07345414,1.1198462,0,-0.21970308,0.029954195,0,1.1246128,-1.0516376,0,0.55499357,0.35613024,0,-0.40675235,-1.1875415,0,0.12134257,0.17445743,0,-0.78395027,0.59550405,0,-0.36864367,-0.27666014,0,0.18511772,-0.88058877,0,0.7497829,0.84746635,0,-0.18627727,0.18809247,0,-0.44142598,0.873078
